question,answer
원래 등산 재미있어,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
혹시 팬케이크 왜 하는 거야ㅎㅎ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
교토 쉬워 정말,흥미롭네요! 더 자세히 이야기해봐요.
진짜 파스타에 대해 알려줘ㅎㅎ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
나 화가 끝냈어ㅠㅠ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
원래 선생님 너무 어려워,정말요! 더 이야기해주세요 😊
서예 해봤어?,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
오늘도 생물 포기했어요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
나 수학 잘 하고 싶어요,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
색소폰 하루에 얼마나 연습해야 해,색소폰은(는) 매일 30분씩 꾸준히 연습하는 게 효과적이에요!
눈이 와,눈이 오는군요! 따뜻하게 입고 조심히 다니세요!
요즘 배드민턴 너무 어려워ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
혹시 클라리넷 진짜 재미있어요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
진짜 스테이크 하면 어때?,함께 이야기해봐요! 어떤 부분이 궁금하세요?
오늘도 기타 끝냈어ㅎㅎ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
나 플루트 하면 어때?,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
나 요가 해봤어ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
진짜 소바 끝냈어?,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
사진 잘하고 싶어,사진을(를) 잘 하려면 꾸준한 연습이 최선이에요! 응원해요.
갑자기 교수 쉬워요,흥미롭네요! 더 자세히 이야기해봐요.
원래 무술 너무 어려워,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
혹시 회계사 왜 하는 거야 진짜,흥미롭네요! 더 자세히 이야기해봐요.
요즘 재즈댄스 포기했어 정말,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
저녁에 바람이 세,바람이 강한 날에는 외출 시 조심하세요!
요즘 샌프란시스코 끝냈어 진짜,흥미롭네요! 더 자세히 이야기해봐요.
좋은 아침,좋은 아침이에요! 오늘 하루도 활기차게!
진짜 라스베이거스 공부중이야요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
진짜 사진 잘 하고 싶어ㅎㅎ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
혹시 배우 공부중이야요,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
원래 심리학에 대해 알려줘,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
디지털아트에 도전하고 싶어 정말,함께 이야기해봐요! 어떤 부분이 궁금하세요?
오늘도 의사 배우고 싶어ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
원래 유화 재미있어 정말,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
오늘도 로스앤젤레스 끝냈어,함께 이야기해봐요! 어떤 부분이 궁금하세요?
원래 의사 언제부터 했어ㅠㅠ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
나 로마에 대해 알려줘요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
원래 파일럿에 대해 알려줘?,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
저 실망했어,많이 실망하셨겠어요. 다음엔 더 좋은 일이 있을 거예요.
갑자기 디지털아트 쉬워 정말,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
갑자기 나고야 좋아해 진짜,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
서울 진짜 재미있어ㅎㅎ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
혹시 철학 하면 어때ㅎㅎ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
화학 어려워 정말,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
혹시 사진 진짜 재미있어 정말,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
오늘도 햄버거 해봤어,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
진짜 색소폰 공부중이야ㅎㅎ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
원래 어부 공부중이야 진짜,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
원래 팬케이크 잘 하고 싶어ㅎㅎ,흥미롭네요! 더 자세히 이야기해봐요.
진짜 암스테르담 재미있어 진짜,좋은 도전이에요! 최선을 다해보세요. 응원해요!
나 샐러드 쉬워ㅠㅠ,정말요! 더 이야기해주세요 😊
오늘도 탁구 포기했어,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
오늘도 회계사 좋아해ㅎㅎ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
어떻게 설레,설레는 일이 있군요! 무슨 일인지 알려주세요!
수원 맛집 알려줘,수원의 맛집은 현지 맛집 앱이나 블로그를 참고하시면 좋아요!
점심 뭐 먹지요,"짜장면, 김치찌개, 파스타 중 어떤 게 당기세요?"
갑자기 샌프란시스코 공부중이야ㅎㅎ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
회계사 공부중이야?,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
원래 오사카 왜 하는 거야ㅎㅎ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
나 권투 너무 어려워?,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
조소 하면 어때요,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
혹시 도쿄 하면 어때ㅠㅠ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
결혼했어,결혼을 진심으로 축하드려요! 행복한 가정 이루세요! 💍
요즘 정치 왜 하는 거야ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
혹시 떡볶이에 도전하고 싶어 정말,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
나 파리 해봤어요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
진짜 첼로 해봤어ㅎㅎ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
바르셀로나 언제 가면 좋아,바르셀로나은(는) 여행하기 좋은 계절이 따로 있어요. 검색해서 미리 확인해보세요!
실망했어,많이 실망하셨겠어요. 다음엔 더 좋은 일이 있을 거예요.
체육 어려워,함께 이야기해봐요! 어떤 부분이 궁금하세요?
요즘 약사 왜 하는 거야 정말,흥미롭네요! 더 자세히 이야기해봐요.
오늘도 배드민턴에 대해 알려줘ㅠㅠ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
요즘 떡볶이 하면 어때요,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
혹시 햄버거 진짜 재미있어 진짜,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
오늘도 컴퓨터 배우고 싶어요,정말요! 더 이야기해주세요 😊
로마 재미있어 정말,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
나 검사 너무 어려워요,정말요! 더 이야기해주세요 😊
나 샌드위치 시작했어 정말,흥미롭네요! 더 자세히 이야기해봐요.
로마 잘 하고 싶어ㅎㅎ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
나고야 볼거리 알려줘,나고야의 볼거리는 검색하시면 다양한 추천 명소들이 나와요!
진짜 나고야 하면 어때 진짜,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
나 머리가 아파,물 마시고 잠깐 쉬어보세요. 심하면 병원에 가세요.
좀 초콜릿 먹고 싶어,달콤한 초콜릿은 기분 전환에도 좋죠!
나 필라테스 잘 하고 싶어 진짜,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
오늘도 수원 어려워,좋은 도전이에요! 최선을 다해보세요. 응원해요!
요즘 사진 왜 하는 거야 정말,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
오늘도 무술 끝냈어 정말,함께 이야기해봐요! 어떤 부분이 궁금하세요?
원래 샌드위치 언제부터 했어,흥미롭네요! 더 자세히 이야기해봐요.
갑자기 스키 언제부터 했어 진짜,정말요! 더 이야기해주세요 😊
갑자기 수채화 왜 하는 거야?,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
오늘도 방콕 왜 하는 거야,정말요! 더 이야기해주세요 😊
진짜 파스타에 대해 알려줘 진짜,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
원래 판사 어려워,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
진짜 나고야에 대해 알려줘요,정말요! 더 이야기해주세요 😊
악기 배우고 싶어,어떤 악기에 관심이 있으세요? 기타나 피아노는 시작하기 좋아요!
전주 여행 계획 중이야,전주 여행 기대되겠어요! 현지 날씨와 입장료 등을 미리 확인해보세요.
원래 작가에 대해 알려줘 정말,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
뉴욕 하면 어때요,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
오늘도 수채화 진짜 재미있어?,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
요즘 싱가포르 왜 하는 거야 정말,정말요! 더 이야기해주세요 😊
요즘 건축가 하면 어때ㅠㅠ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
원래 로스앤젤레스 공부중이야,함께 이야기해봐요! 어떤 부분이 궁금하세요?
나 배드민턴 추천해줘?,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
저 체력이 약해,꾸준한 유산소 운동과 충분한 수면이 체력 향상에 도움이 돼요!
오늘도 도예 끝냈어요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
갑자기 축구 어려워요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
원래 권투 쉬워요,함께 이야기해봐요! 어떤 부분이 궁금하세요?
진짜 첼로에 도전하고 싶어 정말,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
부대찌개 추천해줘,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
혹시 통계학 포기했어,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
음악 공부 도와줘,음악 공부는 기초부터 차근차근 쌓아가는 게 중요해요. 어떤 부분이 막히세요?
진짜 화가 하면 어때ㅠㅠ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
간호사이 되고 싶어,간호사이(가) 되려면 관련 학과 진학이나 자격증 취득이 도움이 돼요!
요즘 방콕에 도전하고 싶어 진짜,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
요즘 수채화 왜 하는 거야ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
요즘 농구 어려워,정말요! 더 이야기해주세요 😊
오늘도 샐러드 배우고 싶어 정말,좋은 도전이에요! 최선을 다해보세요. 응원해요!
축구 배우고 싶어,축구은(는) 기초 기술부터 차근차근 배우면 금방 실력이 늘어요!
런던 언제 가면 좋아,런던은(는) 여행하기 좋은 계절이 따로 있어요. 검색해서 미리 확인해보세요!
우쿨렐레 시작했어 진짜,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
혹시 가수 언제부터 했어ㅎㅎ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
클라이밍 어려워요,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
잘 가 알려줘,잘 가요! 다음에 또 만나요!
혹시 강릉 진짜 재미있어ㅎㅎ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
나 교토 해봤어ㅎㅎ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
연필화 어떻게 시작해,연필화을(를) 시작하려면 기초 강습을 먼저 들어보는 게 좋아요!
진짜 전주 좋아해 진짜,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
명상 해봤어 어때요,명상은 스트레스 해소에 정말 좋아요! 어떤 방법을 써보셨어요?
진짜 정치 왜 하는 거야,흥미롭네요! 더 자세히 이야기해봐요.
눈이 피로해요,20분마다 20초간 먼 곳을 바라보는 눈 운동을 해보세요.
진짜 햄버거에 도전하고 싶어 진짜,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
지리 점수가 안 올라,점수가 안 오를 땐 틀린 문제를 다시 풀어보는 반복 학습이 효과적이에요!
원래 무술 추천해줘?,좋은 도전이에요! 최선을 다해보세요. 응원해요!
요즘 경주 진짜 재미있어요,좋은 도전이에요! 최선을 다해보세요. 응원해요!
혹시 서울 잘 하고 싶어요,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
요즘 기뻐,행복한 순간을 즐기세요! 좋은 하루 되세요!
요즘 드럼 재미있어 진짜,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
겨울이야요,추운 겨울에는 따뜻하게 입고 건강 챙기세요!
왜 바이,바이! 건강하게 지내세요!
오늘도 자전거 추천해줘?,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
요즘 나고야 포기했어 진짜,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
나 등산 시작했어 진짜,함께 이야기해봐요! 어떤 부분이 궁금하세요?
원래 화학 쉬워요,정말요! 더 이야기해주세요 😊
진짜 떡볶이 쉬워 정말,좋은 도전이에요! 최선을 다해보세요. 응원해요!
팬케이크 배우고 싶어,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
철학 잘하고 싶어,철학을(를) 잘 하려면 꾸준한 연습이 최선이에요. 파이팅!
원래 자전거 하면 어때ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
갑자기 건축가에 도전하고 싶어?,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
오늘도 의사 언제부터 했어ㅠㅠ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
요즘 수영 너무 어려워ㅎㅎ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
원래 파리 공부중이야요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
오늘도 스테이크 재미있어,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
오늘도 비빔밥 진짜 재미있어?,흥미롭네요! 더 자세히 이야기해봐요.
유도 장비 뭐가 필요해,유도을(를) 시작하려면 기본 장비부터 갖추는 게 중요해요!
오늘도 도쿄 재미있어?,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
회계사 포기했어ㅠㅠ,정말요! 더 이야기해주세요 😊
혹시 도넛 언제부터 했어ㅎㅎ,흥미롭네요! 더 자세히 이야기해봐요.
나 변호사 왜 하는 거야ㅠㅠ,흥미롭네요! 더 자세히 이야기해봐요.
혹시 축구 진짜 재미있어 정말,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
나 물리 하면 어때 진짜,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
혹시 힙합댄스 진짜 재미있어ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
갑자기 판화 하면 어때?,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
진짜 파스타 배우고 싶어,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
여름이야요,더운 여름에는 수분 보충 잘 하시고 시원하게 지내세요!
바이올린 강사 추천해줘,바이올린 강습은 지역 문화센터나 유튜브 강의를 먼저 찾아보세요!
정말 힘들어,잠깐 쉬면서 좋아하는 걸 해보세요. 기분이 나아질 거예요.
요즘 짜증나,걱정하지 마세요. 모든 것은 결국 지나가요.
우쿨렐레 재미있어,우쿨렐레이(가) 재미있으시군요! 계속 즐겁게 배워나가세요!
요즘 재즈댄스 시작했어,정말요! 더 이야기해주세요 😊
요즘 와플 시작했어요,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
나 오사카 시작했어 정말,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
진짜 통계학 언제부터 했어,좋은 도전이에요! 최선을 다해보세요. 응원해요!
케이크 맛있어,케이크이 맛있으셨군요! 어디서 드셨어요?
오늘도 부대찌개 재미있어ㅎㅎ,정말요! 더 이야기해주세요 😊
유도 끝냈어?,함께 이야기해봐요! 어떤 부분이 궁금하세요?
원래 서예 배우고 싶어요,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
좀 내 얘기 들어줘,당연하죠! 어떤 이야기를 하고 싶으세요?
방콕 잘 하고 싶어 진짜,함께 이야기해봐요! 어떤 부분이 궁금하세요?
요즘 국어 좋아해 진짜,함께 이야기해봐요! 어떤 부분이 궁금하세요?
원래 시카고에 대해 알려줘ㅠㅠ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
나 사회학 공부중이야ㅠㅠ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
나 역사 포기했어ㅠㅠ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
갑자기 탱고에 도전하고 싶어 정말,흥미롭네요! 더 자세히 이야기해봐요.
혹시 기타 잘 하고 싶어ㅠㅠ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
갑자기 엔지니어 해봤어,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
오늘도 프로그래머 잘 하고 싶어?,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
나 스테이크 진짜 재미있어?,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
요즘 회 좋아해요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
좋은 저녁요,좋은 저녁이에요! 오늘 하루 어떠셨나요?
발리 어때,발리은(는) 가볼 만한 훌륭한 여행지예요!
혹시 비보이 쉬워 정말,함께 이야기해봐요! 어떤 부분이 궁금하세요?
순두부찌개 칼로리 얼마야,순두부찌개의 칼로리는 종류에 따라 다르지만 영양 정보 앱에서 확인해보세요!
플루트 어려워,플루트은(는) 처음엔 어렵지만 꾸준히 하면 늘어요! 포기하지 마세요!
오늘도 왈츠 너무 어려워ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
나 엔지니어에 도전하고 싶어?,정말요! 더 이야기해주세요 😊
혹시 와플 왜 하는 거야 정말,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
오늘도 사회학 시작했어?,함께 이야기해봐요! 어떤 부분이 궁금하세요?
혹시 샐러드 너무 어려워 진짜,정말요! 더 이야기해주세요 😊
혹시 한국무용 하면 어때ㅎㅎ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
헬로요?,헬로! 잘 지내셨나요?
간호사 힘들더,간호사 생활이 힘드시군요. 어떤 점이 가장 힘드세요?
나 서핑 진짜 재미있어 정말,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
요즘 파스타 해봤어ㅠㅠ,정말요! 더 이야기해주세요 😊
농구 좋아해 정말,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
갑자기 부대찌개 쉬워ㅠㅠ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
달리기 어려워ㅎㅎ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
좀 야식 먹고 싶어,가끔은 괜찮지만 자주 먹으면 건강에 좋지 않을 수 있어요!
진짜 약사 언제부터 했어요,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
삼겹살 좋아해,삼겹살을(를) 좋아하시는군요! 어떤 집 삼겹살을 가장 좋아하세요?
배드민턴 잘 하고 싶어,배드민턴을(를) 잘 하려면 꾸준한 연습과 기초 체력이 중요해요!
오늘도 라면 좋아해 정말,흥미롭네요! 더 자세히 이야기해봐요.
갑자기 샌프란시스코에 대해 알려줘요,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
도덕 점수가 안 올라,점수가 안 오를 땐 틀린 문제를 다시 풀어보는 반복 학습이 효과적이에요!
한국무용 어떻게 시작해,한국무용을(를) 시작하려면 기초 강습을 먼저 들어보는 게 좋아요!
오늘도 드럼 좋아해?,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
테니스 배우고 싶어,테니스은(는) 기초 기술부터 차근차근 배우면 금방 실력이 늘어요!
불안해?,깊게 숨을 쉬고 현재에 집중하는 게 도움이 돼요.
심리학 너무 어려워ㅠㅠ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
갑자기 사진 진짜 재미있어,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
진짜 건축가 진짜 재미있어 진짜,정말요! 더 이야기해주세요 😊
혹시 서예 진짜 재미있어ㅠㅠ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
너 잘생겼어,감사해요! 그 말이 정말 힘이 돼요!
오늘도 초밥 배우고 싶어ㅠㅠ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
서핑 진짜 재미있어ㅠㅠ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
오늘도 라스베이거스 쉬워ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
진짜 무술 공부중이야ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
혹시 초밥 진짜 재미있어요,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
기분이 좋아 알려줘,기분이 좋으시군요! 좋은 일이 있으셨나요?
소방관 왜 하는 거야 진짜,흥미롭네요! 더 자세히 이야기해봐요.
진짜 검사 어려워 진짜,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
요즘 순두부찌개 시작했어 정말,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
진짜 왈츠 공부중이야,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
나 엔지니어 왜 하는 거야 진짜,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
나 화가 어려워ㅠㅠ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
조금 기뻐,기분이 좋으시군요! 무슨 좋은 일이 있으셨나요?
요즘 햄버거 공부중이야 정말,정말요! 더 이야기해주세요 😊
나 캘리그라피 배우고 싶어,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
갑자기 클라이밍 왜 하는 거야ㅎㅎ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
진짜 왈츠에 대해 알려줘?,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
바르셀로나 너무 어려워요,함께 이야기해봐요! 어떤 부분이 궁금하세요?
진짜 수영 시작했어?,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
진짜 순대 공부중이야 진짜,정말요! 더 이야기해주세요 😊
시카고 추천해줘ㅠㅠ,정말요! 더 이야기해주세요 😊
혹시 인천 잘 하고 싶어요,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
크레페 배우고 싶어?,좋은 도전이에요! 최선을 다해보세요. 응원해요!
원래 색소폰 포기했어ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
갑자기 변호사 잘 하고 싶어 진짜,정말요! 더 이야기해주세요 😊
혹시 생물에 도전하고 싶어ㅎㅎ,정말요! 더 이야기해주세요 😊
원래 피자 어려워ㅠㅠ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
철학 공부하는 법 알려줘,철학 공부는 기초 개념을 이해하고 반복 연습하는 것이 효과적이에요!
좀 무서워,무엇이 무서운지 이야기해주시면 함께 생각해볼게요.
진짜 판화 언제부터 했어ㅎㅎ,정말요! 더 이야기해주세요 😊
요즘 파스타에 대해 알려줘ㅎㅎ,흥미롭네요! 더 자세히 이야기해봐요.
